code,country,school_age_population,urban,pre-primary,primary,secondary,National_bws,National_lws,National_nws,Urban_bws,Urban_lws,Urban_nws,Rural_bws,Rural_lws,Rural_nws,Pre-primary_bws,Pre-primary_lws,Pre-primary_nws,Primary_bws,Primary_lws,Primary_nws,Secondary_bws,Secondary_lws,Secondary_nws,National_bss,National_lss,National_nss,Urban_bss,Urban_lss,Urban_nss,Rural_bss,Rural_lss,Rural_nss,Pre-primary_bss,Pre-primary_lss,Pre-primary_nss,Primary_bss,Primary_lss,Primary_nss,Secondary_bss,Secondary_lss,Secondary_nss,National_bhs,National_lhs,National_nhs,Urban_bhs,Urban_lhs,Urban_nhs,Rural_bss,Rural_lss,Rural_nhs,Pre-primary_bhs,Pre-primary_lhs,Pre-primary_nhs,Primary_bhs,Primary_lhs,Primary_nhs,Secondary_bhs,Secondary_lhs,Secondary_nhs
DJI,Djibouti,257.1390076,77.91505432,15.50017738,35.48703384,49.01279068,0,0,14.39349845,0,0,4.851495534,0,0,19.42906375,0,0,0,0,0,13.17,0,0,24.25263158,0,0,8.200590503,0,0,10.11816034,0,0,25.28400027,0,0,0,0,0,6.14893617,0,0,11.98658259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,Dominica,12.29100037,70.78350067,11.04873466,49.80066681,39.15059662,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
DOM,Dominican Republic,2890.329102,81.82801819,20.03252983,40.08339691,39.88407516,0,0,10.15435835,0,0,10.34285714,0,0,11.62790698,0,0,0,0,0,10.15435835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,4724.994141,63.98600769,20.66324234,39.82741547,39.50934219,87.13333333,6.575879997,6.29078667,92.5,2.003508772,5.496491228,80.8,10.99789254,8.202107457,93.3,<1,6,87,6.237100034,6.762899966,95.5,<1,4,79.83915152,1.594181818,18.56666667,87.3,<1,11.8,72.6,1.5,25.9,87.4,<1,12.2,80.4,1,18.6,91,<1,8.8,0,0,23.26666667,0,0,13.9,0,0,30.9,0,0,10.9,0,0,22.1,0,0,6.5
EGY,Egypt,27387.27539,42.72999954,16.06868744,45.51755524,38.41375351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
SLV,El Salvador,1722.44397,72.74599457,18.47978783,40.2613945,41.25881577,81.71735272,13.6800362,4.602611079,0,0,2.971986111,0,0,4.466786692,0,0,6.291142298,80.03265925,14.81318064,5.154160108,83.9089817,11.77658074,4.314437568,87.29641045,5.264059815,7.439529734,92.47543517,4.285602898,3.23896193,84.66841184,5.770724893,9.560863268,87.10821061,5.292388004,7.599401387,86.83740923,5.108814382,8.05377639,91.90818251,3.786488133,4.305329362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,416.1849976,72.6270752,22.88549614,42.6135025,34.50100327,0,0,71.93585684,0,0,0,0,0,0,0,0,74.35,0,0,74.15,0,0,48.5,0,0,20.90699557,0,0,0,0,0,0,0,0,30.25632939,0,0,14.96541978,0,0,5.863260341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,1301.66394,40.71196747,17.15926743,38.90382004,43.93691635,0,0,30.35711621,0,0,0,0,0,0,0,0,59.04603279,0,0,35.40357143,0,0,19.91785714,33.03103335,21.32400426,45.6449624,0,0,0,0,0,0,0,0,0,26.450515,16.72274081,56.82674419,46.35692646,24.69307354,28.95,4.83802226,0,0,0,0,0,0,0,0,0,0,0,3.35103,0,0,7.849259196,0,0
EST,Estonia,228.6759949,69.05097198,27.43707275,40.01906586,32.54386139,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
SWZ,Eswatini,429.3619995,23.98093033,20.65273666,48.02334595,31.32391739,0,0,13.85484022,0,0,0,0,0,0,0,0,0,0,0,16.84576923,0,0,8.803023256,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
